clean_text,indexed_text
,[]
,[]
During March and early April  the Marquess of Newcastle fought several delaying actions as he tried to prevent the Scots from crossing the River Tyne and surrounding the city of Newcastle upon Tyne  Meanwhile  a Parliamentarian cavalry force under Sir Thomas Fairfax  who had been campaigning in Cheshire and Lancashire during the winter  crossed the Pennines and entered the West Riding of Yorkshire  To prevent Sir Thomas rejoining Lord Fairfax in Hull  Belasyse occupied the town of Selby which lay between them  On  April  Sir Thomas Fairfax s force  reinforced by infantry under Sir John Meldrum  stormed Selby  capturing Belasyse and most of his force,"[45, 195, 3, 109, 210, 1, 5632, 2, 5633, 1522, 99, 6973, 1523, 11, 17, 1712, 5, 1104, 1, 4763, 18, 2091, 1, 295, 0, 3, 1105, 1, 95, 2, 5633, 406, 0, 1609, 6, 6974, 3267, 302, 120, 1357, 526, 6975, 41, 24, 43, 0, 4, 0, 3, 2258, 45, 1, 882, 2453, 1, 0, 3, 955, 1, 154, 5634, 2, 0, 5, 1104, 1357, 526, 0, 687, 6975, 4, 4120, 0, 2454, 1, 297, 2, 0, 23, 2953, 71, 86, 9, 210, 1357, 526, 6975, 8, 302, 5635, 14, 956, 120, 1357, 143, 0, 0, 0, 0, 0, 3, 58, 2, 19, 302]"
On April     G P  Bud  Peterson  previously the chancellor of the University of Colorado at Boulder  became the th president of Georgia Tech  On April     Georgia Tech was invited to join the Association of American Universities  the first new member institution in nine years  In   Georgia Tech launched the first  massive online open degree  in computer science by partnering with Udacity and AT  T  a complete degree through that program costs students,"[9, 210, 562, 1610, 5636, 5637, 663, 1, 4121, 2, 1, 252, 2, 2954, 16, 0, 97, 1, 79, 479, 2, 1819, 815, 9, 210, 1819, 815, 7, 1933, 5, 1611, 1, 621, 2, 131, 3642, 1, 28, 46, 360, 1820, 4, 576, 85, 4, 1819, 815, 760, 1, 28, 2259, 1934, 491, 1106, 4, 1022, 664, 14, 0, 13, 0, 3, 16, 132, 6, 957, 1106, 110, 12, 468, 2092, 577]"
Did It Again  featuring Kid Cudi  Superchumbo Remix,"[122, 20, 229, 958, 6976, 0, 0, 4122]"
After a year s absence from international football due to injury  Overmars was recalled to the Netherlands squad for their friendly against Portugal in April   Two months later he came on as a substitute against Belarus in a UEFA Euro  qualifier and scored the opening goal of the game  He was selected for the tournament held in Portugal  and was advised by Advocaat not to train more than once a day  so that his body would resist burn out  Overmars only started three matches in Euro   his final game was the Netherlands loss to Portugal in the semi  final  In all  he played in  games for his national side  scoring  goals,"[33, 6, 76, 8, 5638, 18, 324, 461, 225, 5, 2260, 5639, 7, 2674, 5, 1, 2261, 2675, 10, 27, 3643, 104, 5640, 4, 210, 38, 395, 55, 17, 281, 9, 11, 6, 0, 104, 3644, 4, 6, 2093, 5641, 0, 3, 527, 1, 734, 563, 2, 1, 57, 17, 7, 1023, 10, 1, 883, 251, 4, 5640, 3, 7, 4123, 14, 0, 36, 5, 1224, 56, 62, 346, 6, 111, 102, 12, 19, 735, 51, 5642, 0, 61, 5639, 69, 509, 54, 1290, 4, 5641, 19, 177, 57, 7, 1, 2261, 1225, 5, 5640, 4, 1, 2094, 177, 4, 50, 17, 170, 4, 290, 10, 19, 142, 307, 884, 715]"
Dorothy Parker  August     June     was an American poet  short story writer  critic  and satirist  best known for her wit  wisecracks and eye for th  century urban foibles,"[4124, 1821, 211, 323, 7, 22, 131, 4125, 367, 263, 716, 1822, 3, 0, 152, 127, 10, 34, 4764, 0, 3, 1823, 10, 79, 183, 1524, 0]"
In   the United States Supreme Court first set down principles in terms of the constitutionality of discovery rules  In Williams v Florida  the Court held that Florida s  notice  of  alibi  rule did not violate the Fifth Amendment  While the rule in Williams was reciprocal  it was not for another three years before the Court mandated that discovery rules had to be reciprocal as a general principle  The decision articulated the  two  way street  approach  that  trials be run as a  search for truth   without either side maintaining   poker game  secrecy for its own witnesses,"[4, 1, 96, 113, 1612, 233, 28, 221, 172, 4126, 4, 1107, 2, 1, 0, 2, 2262, 2095, 4, 1525, 622, 761, 1, 233, 251, 12, 761, 8, 0, 2, 6977, 1171, 122, 36, 0, 1, 845, 3645, 59, 1, 1171, 4, 1525, 7, 4765, 20, 7, 36, 10, 186, 54, 85, 65, 1, 233, 0, 12, 2262, 2095, 24, 5, 25, 4765, 11, 6, 216, 5643, 1, 912, 0, 1, 38, 242, 510, 1613, 12, 2096, 25, 368, 11, 6, 959, 10, 1713, 361, 494, 307, 2955, 5644, 57, 0, 10, 29, 234, 2676]"
Scott s Director s Cut     minutes  was made available on VHS and Laserdisc in   and on DVD in   Significant changes from the theatrical version include  the removal of Deckard s voice  over  re  insertion of the unicorn sequence  and removal of the studio  imposed happy ending  Scott provided extensive notes and consultation to Warner Bros through film preservationist Michael Arick  who was put in charge of creating the Director s Cut  Scott s The Final Cut     minutes  was released by Warner Bros theatrically on October     and subsequently released on DVD  HD DVD  and Blu  ray Disc in December   This is the only version over which Scott had complete editorial control,"[816, 8, 481, 8, 610, 495, 7, 80, 633, 9, 4127, 3, 0, 4, 3, 9, 913, 4, 450, 762, 18, 1, 6978, 298, 340, 1, 3646, 2, 0, 8, 1108, 53, 331, 0, 2, 1, 0, 1614, 3, 3646, 2, 1, 592, 5645, 2097, 1425, 816, 538, 1058, 846, 3, 0, 5, 3647, 2956, 110, 64, 0, 665, 0, 41, 7, 430, 4, 1172, 2, 1426, 1, 481, 8, 610, 816, 8, 1, 177, 610, 495, 7, 119, 14, 3647, 2956, 0, 9, 180, 3, 817, 119, 9, 913, 0, 913, 3, 1824, 1109, 2263, 4, 196, 26, 15, 1, 69, 298, 53, 23, 816, 24, 957, 6979, 469]"
,[]
Atari computer Easter egg,"[0, 1022, 3268, 2677]"
,[]
Sir Harold Malcolm Watts Sargent   April    October   was an English conductor  organist and composer widely regarded as Britain s leading conductor of choral works  The musical ensembles with which he was associated included the Ballets Russes  the Huddersfield Choral Society  the Royal Choral Society  the D Oyly Carte Opera Company  and the London Philharmonic  Hall  Liverpool Philharmonic  BBC Symphony and Royal Philharmonic orchestras  Sargent was held in high esteem by choirs and instrumental soloists  but because of his high standards and a statement that he made in a  interview disputing musicians  rights to tenure  his relationship with orchestral players was often uneasy  Despite this  he was co  founder of the London Philharmonic  was the first conductor of the Liverpool Philharmonic as a full  time ensemble  and played an important part in saving the Royal Philharmonic Orchestra from disbandment in the s,"[1357, 3648, 3649, 4766, 6980, 210, 180, 7, 22, 396, 3650, 0, 3, 2098, 1526, 1358, 11, 785, 8, 511, 3650, 2, 3651, 593, 1, 634, 0, 13, 23, 17, 7, 736, 193, 1, 0, 0, 1, 0, 3651, 594, 1, 386, 3651, 594, 1, 274, 0, 0, 2455, 245, 3, 1, 539, 4128, 551, 960, 4128, 1173, 1427, 3, 386, 4128, 6981, 6980, 7, 251, 4, 134, 0, 14, 0, 3, 2678, 0, 31, 129, 2, 19, 134, 3269, 3, 6, 2099, 12, 17, 80, 4, 6, 847, 0, 2957, 611, 5, 4129, 19, 685, 13, 4767, 424, 7, 347, 0, 268, 26, 17, 7, 635, 2958, 2, 1, 539, 4128, 7, 1, 28, 3650, 2, 1, 960, 4128, 11, 6, 496, 48, 4768, 3, 170, 22, 552, 92, 4, 0, 1, 386, 4128, 2264, 18, 0, 4, 1, 8]"
Stems,[5646]
Early Women s Suffrage in Wales,"[109, 272, 8, 0, 4, 848]"
,[]
While debriefing with Skinner  Mulder enters Skinner s office and accuses Doggett of deliberately attempting to cover up the truth by setting up Absalom to be killed  an accusation to which Doggett takes great offense  Doggett later meets with his liaison  Knowle Rohrer  who reveals the password to the statistics bureau is  Fight the Future,"[59, 0, 13, 0, 1714, 2959, 0, 8, 411, 3, 0, 4769, 2, 2960, 2100, 5, 431, 63, 1, 1713, 14, 1110, 63, 0, 5, 25, 410, 22, 0, 5, 23, 4769, 763, 246, 0, 4769, 55, 1825, 13, 19, 0, 0, 0, 41, 4130, 1, 0, 5, 1, 3270, 2961, 15, 914, 1, 737]"
Writing for The Sacramento Bee  Allen Pierleoni recommended the book as a gift for Father s Day  and called the work  entertaining and informational  full of anecdotes  history  recipes and explanations of what pork belly has brought to the popular culture   Rita Zekas of the Toronto Star also recommended the book as a Father s Day gift  Kerry J Byrne noted that the book covers  everything from bacon  curing methods to bacon blogs  and includes  easy recipes   Publishers Weekly reviewed called the book a  voluminous look at all things bacon   the review concluded   Readers who  like Lauer  possess a borderline  obsessive love for bacon are likely to embrace this as their new Bible  but anyone else will quickly get their fill   Rachel Forrest of The Portsmouth Herald recommended the book in her  Annual Summer Reading List for Foodies    Another of my favorites this year is  Bacon  A Love Story  A Salty Survey of Everybody s Favorite Meat  by Heather Lauer  A book all about bacon  she profiles chefs that use it  odd finds across the nation and plenty of recipes   commented Forrest  The Arizona Republic highlighted the book among its selection of  Books to help turn pages of summer,"[332, 10, 1, 0, 0, 5647, 0, 1291, 1, 264, 11, 6, 4131, 10, 397, 8, 111, 3, 139, 1, 123, 4770, 3, 0, 496, 2, 0, 189, 4771, 3, 0, 2, 197, 0, 4772, 42, 528, 5, 1, 578, 1059, 0, 0, 2, 1, 2679, 348, 30, 1291, 1, 264, 11, 6, 397, 8, 111, 4131, 0, 764, 5648, 387, 12, 1, 264, 2101, 1428, 18, 2680, 0, 2265, 5, 2680, 0, 3, 765, 2681, 4771, 5649, 1826, 5650, 139, 1, 264, 6, 0, 1060, 16, 50, 1111, 2680, 1, 508, 2266, 3652, 41, 128, 6982, 4132, 6, 0, 0, 412, 10, 2680, 32, 1226, 5, 0, 26, 11, 27, 46, 4133, 31, 1935, 2267, 230, 666, 349, 27, 5651, 6983, 6984, 2, 1, 0, 3653, 1291, 1, 264, 4, 34, 911, 688, 2102, 564, 10, 0, 186, 2, 497, 0, 26, 76, 15, 2680, 6, 412, 263, 6, 0, 1715, 2, 4134, 8, 2268, 3271, 14, 0, 6982, 6, 264, 50, 70, 2680, 44, 0, 0, 12, 145, 20, 5652, 1936, 451, 1, 1429, 3, 6985, 2, 4771, 1430, 6984, 1, 2269, 1827, 6986, 1, 264, 215, 29, 1828, 2, 1024, 5, 590, 766, 3272, 2, 688]"
,[]
The Avro Canada VZ   Avrocar was a VTOL aircraft developed by Avro Aircraft Ltd   Canada  as part of a secret US military project carried out in the early years of the Cold War  The Avrocar intended to exploit the Coand effect to provide lift and thrust from a single  turborotor  blowing exhaust out the rim of the disk  shaped aircraft to provide anticipated VTOL  like performance  In the air  it would have resembled a flying saucer,"[1, 0, 717, 0, 6987, 7, 6, 0, 423, 482, 14, 0, 423, 3654, 717, 11, 92, 2, 6, 1716, 107, 341, 540, 689, 61, 4, 1, 109, 85, 2, 1, 1112, 87, 1, 6987, 1717, 5, 5653, 1, 0, 690, 5, 961, 5654, 3, 0, 18, 6, 181, 0, 0, 0, 61, 1, 6988, 2, 1, 3273, 3274, 423, 5, 961, 3275, 0, 128, 373, 4, 1, 212, 20, 51, 39, 5655, 6, 915, 0]"
,[]
,[]
,[]
Espingole carried a single   millimeter     in  gun forward of the bridge  The gun had a maximum range of    meters     yd  and a rate of fire of five rounds per minute  The ship carried  rounds for the gun  She also mounted six   millimeter     in  Hotchkiss guns  three on each broadside  The guns had a sustained rate of fire of seven rounds per minute and a maximum range of    meters     yd   She carried a total of    rounds of  mm ammunition  Espingole mounted two single   millimeter     in  torpedo tubes  one between the funnels and the other on the stern  Two reload torpedoes were also carried  their air flasks  however  had to be charged before they could be used  a process that took several hours  The Modle  torpedo that they used had a warhead weight of  kilograms   lb,"[0, 689, 6, 181, 4135, 4, 718, 1061, 2, 1, 498, 1, 718, 24, 6, 1174, 565, 2, 1615, 6989, 3, 6, 1062, 2, 269, 2, 160, 1359, 374, 885, 1, 227, 689, 1359, 10, 1, 718, 44, 30, 1227, 184, 4135, 4, 5656, 623, 54, 9, 125, 6990, 1, 623, 24, 6, 1113, 1062, 2, 269, 2, 313, 1359, 374, 885, 3, 6, 1174, 565, 2, 1615, 6989, 44, 689, 6, 355, 2, 1359, 2, 612, 1718, 0, 1227, 38, 181, 4135, 4, 2456, 5657, 35, 71, 1, 6991, 3, 1, 49, 9, 1, 3276, 38, 0, 4773, 21, 30, 689, 27, 212, 0, 83, 24, 5, 25, 1829, 65, 37, 118, 25, 88, 6, 686, 12, 163, 99, 786, 1, 0, 2456, 12, 37, 88, 24, 6, 0, 1360, 2, 0, 2962]"
Bartolom de Las Casas has also come to be seen as an early advocate for a concept of universal human rights  He was among the first to develop a view of unity among humankind  stating that  All people of the world are humans   and that they had a natural right to liberty  a combination of Thomist rights philosophy with Augustinian political theology  In this capacity  an ecumenical human rights institute located in San Cristbal de las Casas  the Centro Fray Bartolom de las Casas de Derechos Humanos  was established by Bishop Samuel Ruiz in,"[0, 185, 2457, 6992, 42, 30, 691, 5, 25, 529, 11, 22, 109, 2446, 10, 6, 1361, 2, 2270, 512, 611, 17, 7, 215, 1, 28, 5, 992, 6, 1114, 2, 2682, 215, 0, 1431, 12, 50, 144, 2, 1, 78, 32, 1937, 3, 12, 37, 24, 6, 1063, 425, 5, 2963, 6, 2271, 2, 0, 611, 2103, 13, 0, 362, 4774, 4, 26, 1228, 22, 0, 512, 611, 2086, 413, 4, 916, 0, 185, 2457, 6992, 1, 0, 0, 0, 185, 2457, 6992, 185, 0, 0, 7, 553, 14, 1938, 2964, 0, 4]"
Careful with That Axe  Eugene   from Point Me At The Sky  B  side,"[0, 13, 12, 6993, 4775, 18, 356, 579, 16, 1, 2449, 308, 307]"
New York State Route   NY   is a state highway in the Southern Tier of New York in the United States  It is a     mile     km  loop route off NY  that connects the town of Big Flats  near the city of Elmira  and the city of Corning to the hamlet of Caton  The route begins in Big Flats and follows a generally east  west alignment across rural areas to Caton  where it turns to run in a north  south direction toward Corning  Development along the highway increases once it enters the Corning suburb of South Corning  and the rest of the route serves residential neighborhoods in South Corning and Corning  NY  is two lanes wide for its entire length  however  part of the highway in South Corning also has a center turn lane,"[46, 207, 74, 256, 1064, 15, 6, 74, 333, 4, 1, 566, 5658, 2, 46, 207, 4, 1, 96, 113, 20, 15, 6, 2104, 156, 4136, 256, 168, 1064, 12, 5659, 1, 297, 2, 719, 6994, 253, 1, 95, 2, 0, 3, 1, 95, 2, 3655, 5, 1, 3656, 2, 0, 1, 256, 1527, 4, 719, 6994, 3, 1616, 6, 541, 202, 154, 2105, 451, 2965, 462, 5, 0, 91, 20, 2458, 5, 368, 4, 6, 101, 116, 1229, 1830, 3655, 299, 150, 1, 333, 4776, 346, 20, 2959, 1, 3655, 4777, 2, 116, 3655, 3, 1, 580, 2, 1, 256, 1617, 3277, 5660, 4, 116, 3655, 3, 3655, 1064, 15, 38, 3278, 818, 10, 29, 767, 886, 83, 92, 2, 1, 333, 4, 116, 3655, 30, 42, 6, 357, 766, 1362]"
Somerset made their debut in first  class cricket against Lancashire on  June   The Western Daily Press noted that Somerset were not able to field a full  strength team in the match  missing Evans  Ramsay and Roe  However  the Lancashire team which faced them was described by the same paper as being  very second  rate   The weather was showery most of the day  and play was abandoned at half five because of the rain  with Lancashire on  for  having won the toss and batted first  Heavy rain overnight made the ground unplayable on the second day  so play resumed the following day  although rain continued to threaten  The original wicket was badly damaged  being described in the York Herald as  a puddle   and so the stumps were moved to enable play to begin  Somerset took the final two Lancashire wickets in the first ten minutes  bowling them out for   Fowler and Sainsbury opened the batting for Somerset  and put on eighteen runs together before being dismissed in quick succession  The Western Daily Press recorded that  after this disaster waited on the visitors   Only two other batsmen scored any runs for Somerset  and they were all out for  runs  the second lowest first  class total at the time  Somerset followed  on  and their second innings proceeded in much the same fashion as the first  the pair scored  runs  while the rest of the team only added a further   Somerset lost the match by an innings and  runs  The Bath Chronicle and Weekly Gazette defended Somerset s performance on the third day slightly  noting that the poor condition of the pitch favoured the Lancashire bowlers  Lancashire s George Nash took eight wickets in the first innings  including four in one four  ball over  while fellow spin bowler Jack Crossland collected six in the second innings,"[1618, 80, 27, 819, 4, 28, 363, 2966, 104, 2258, 9, 323, 1, 380, 1831, 513, 387, 12, 1618, 21, 36, 467, 5, 442, 6, 496, 1619, 82, 4, 1, 275, 1620, 5661, 0, 3, 0, 83, 1, 2258, 82, 23, 1528, 86, 7, 257, 14, 1, 149, 1230, 11, 94, 247, 75, 1062, 1, 1832, 7, 0, 58, 2, 1, 111, 3, 276, 7, 1939, 16, 303, 160, 129, 2, 1, 2967, 13, 2258, 9, 10, 315, 190, 1, 0, 3, 5662, 28, 470, 2967, 0, 80, 1, 375, 0, 9, 1, 75, 111, 102, 276, 2459, 1, 117, 111, 146, 2967, 398, 5, 0, 1, 223, 5663, 7, 2968, 962, 94, 257, 4, 1, 207, 3653, 11, 6, 0, 3, 102, 1, 4778, 21, 359, 5, 5664, 276, 5, 1529, 1618, 163, 1, 177, 38, 2258, 3657, 4, 1, 28, 316, 495, 4779, 86, 61, 10, 0, 3, 0, 499, 1, 4137, 10, 1618, 3, 430, 9, 3658, 636, 381, 65, 94, 3659, 4, 2460, 2683, 1, 380, 1831, 513, 277, 12, 33, 26, 2947, 5665, 9, 1, 4138, 69, 38, 49, 4139, 527, 167, 636, 10, 1618, 3, 37, 21, 50, 61, 10, 636, 1, 75, 3279, 28, 363, 355, 16, 1, 48, 1618, 567, 9, 3, 27, 75, 1175, 3660, 4, 213, 1, 149, 2969, 11, 1, 28, 1, 1363, 527, 636, 59, 1, 580, 2, 1, 82, 69, 452, 6, 273, 1618, 309, 1, 275, 14, 22, 1175, 3, 636, 1, 3661, 4140, 3, 1826, 6995, 3662, 1618, 8, 373, 9, 1, 220, 111, 1364, 4141, 12, 1, 1176, 2461, 2, 1, 3280, 0, 1, 2258, 0, 2258, 8, 514, 6996, 163, 376, 3657, 4, 1, 28, 1175, 100, 89, 4, 35, 89, 667, 53, 59, 1621, 2684, 5666, 768, 0, 3281, 184, 4, 1, 75, 1175]"
,[]
Dave Grossman and Tim Schafer co  led the game s development  their first time in such a role  The pair carried over a limited number of elements from Maniac Mansion and forwent the character selection aspect to simplify development  Inspirations included Chuck Jones cartoons and the history of the United States  Day of the Tentacle is the eighth LucasArts title to use the SCUMM engine,"[3282, 0, 3, 4780, 5667, 635, 158, 1, 57, 8, 299, 27, 28, 48, 4, 81, 6, 282, 1, 1363, 689, 53, 6, 738, 105, 2, 595, 18, 0, 3283, 3, 0, 1, 217, 1828, 5668, 5, 0, 299, 0, 193, 2462, 2087, 4781, 3, 1, 189, 2, 1, 96, 113, 111, 2, 1, 0, 15, 1, 1365, 0, 399, 5, 145, 1, 0, 1530]"
The commission s report  issued September   recommended the establishment of a central bank and an inquiry on the availability of credit to farmers  Brownlee supported both recommendations  and attached a minority report calling for banks to end their disparate treatment of eastern and western debtors  urging that a statutory maximum interest rate be maintained and possibly lowered  and recommending that the proposed central bank be entirely government owned and controlled  This last recommendation came to pass in   when the Bank of Canada  originally controlled by a mix of public and private interests  was reorganized as a federal Crown corporation,"[1, 1065, 8, 963, 849, 153, 1291, 1, 3284, 2, 6, 364, 1531, 3, 22, 4142, 9, 1, 0, 2, 2685, 5, 4782, 0, 668, 93, 6997, 3, 3285, 6, 4143, 963, 1366, 10, 2686, 5, 121, 27, 6998, 1622, 2, 443, 3, 380, 0, 0, 12, 6, 5669, 1174, 769, 1062, 25, 1292, 3, 1432, 6999, 3, 0, 12, 1, 1066, 364, 1531, 25, 1833, 199, 787, 3, 1231, 26, 296, 7000, 281, 5, 993, 4, 47, 1, 1531, 2, 717, 444, 1231, 14, 6, 4144, 2, 283, 3, 964, 1940, 7, 0, 11, 6, 770, 2687, 3663]"
,[]
